epoch,loss,val_loss
0,0.007120814174413681,0.001598377013579011
1,0.003572268644347787,0.0015886612236499786
2,0.0028105725068598986,0.0008449006709270179
3,0.0017780251801013947,0.0010698222322389483
4,0.001643786788918078,0.0005748571129515767
5,0.0015369710745289922,0.0004510818689595908
6,0.0009152994607575238,0.0003844912280328572
7,0.0007849739049561322,0.000614351243712008
8,0.00185830716509372,0.0016028882237151265
9,0.0013703879667446017,0.0004597491933964193
10,0.001181230996735394,0.0003617124166339636
11,0.0007229711045511067,0.0003992861311417073
12,0.0006729104788973927,0.000303477281704545
13,0.0004074945754837245,0.0003521483449731022
14,0.0008502813288941979,0.0003003272577188909
15,0.00046494920388795435,0.0002606311463750899
16,0.0005022610421292484,0.00039041999843902886
17,0.0010464414954185486,0.0003038489958271384
18,0.000583053391892463,0.0003370317572262138
19,0.0012014262611046433,0.0003762605192605406
20,0.0006813023355789483,0.00046823747106827796
21,0.0005840574740432203,0.0002226093492936343
22,0.0003200599458068609,0.00033505423925817013
23,0.00033850077306851745,0.0003158331383019686
24,0.0006664503016509116,0.0006850476493127644
25,0.0010295017855241895,0.00047678500413894653
26,0.0005718394531868398,0.00030698280897922814
27,0.0008341072243638337,0.0004111918096896261
28,0.0005903824348933995,0.00029123667627573013
29,0.0004303246387280524,0.00025931274285539985
30,0.0005249853129498661,0.0004024172085337341
31,0.0003674667386803776,0.00031029520323500037
