epoch,loss,val_loss
0,0.0006397075485438108,0.00019457528833299875
1,0.00025707611348479986,0.00013692628999706358
2,0.0001733224926283583,9.094097913475707e-05
3,0.00014538419782184064,0.00011274094140389934
4,0.0001265705650439486,9.701264934847131e-05
5,0.00013953119923826307,0.00013848498929291964
6,0.0001366637006867677,8.785880345385522e-05
7,0.00011213019024580717,8.486807928420603e-05
8,0.00010101680527441204,7.86851451266557e-05
9,9.817013051360846e-05,0.00010007662058342248
10,0.0001014911467791535,8.2615420978982e-05
11,8.56488331919536e-05,9.316641080658883e-05
12,9.072545799426734e-05,8.506809535901994e-05
13,8.097060344880447e-05,7.9324898251798e-05
14,8.547471225028858e-05,9.100517490878701e-05
15,8.702665218152106e-05,0.00011104394070571288
16,7.83943323767744e-05,7.530469883931801e-05
17,7.034857117105275e-05,7.840128091629595e-05
18,6.830310303485021e-05,8.04257215349935e-05
19,6.488867802545428e-05,8.236141729867086e-05
20,6.920043233549222e-05,7.177713268902153e-05
21,6.851372745586559e-05,7.296579133253545e-05
22,5.475900979945436e-05,8.62454908201471e-05
23,7.173072663135827e-05,7.272346556419507e-05
24,6.0922855482203886e-05,0.0001114388505811803
25,6.227261474123225e-05,7.401232869597152e-05
26,5.394192703533918e-05,0.00010006884986069053
27,5.576975308940746e-05,7.035255111986771e-05
28,5.689836689271033e-05,8.610920485807583e-05
29,5.2393275836948305e-05,7.409274257952347e-05
30,5.324761878000572e-05,7.525576802436262e-05
31,5.120096466271207e-05,8.373949094675481e-05
32,4.819668538402766e-05,8.179046562872827e-05
33,5.1554648962337524e-05,8.088946924544871e-05
34,5.539472113014199e-05,7.620442193001509e-05
35,4.7584246203769e-05,8.699856698513031e-05
36,4.815472857444547e-05,7.58196838432923e-05
37,5.011978282709606e-05,7.828020898159593e-05
