time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2020-08-05 16:50,3,0,0,0,0,1,3.31,1.43,0.734,0.061,28.089,32.318
2020-08-05 17:00,0,0,0,0,0,0,3.22,1.4,0,0,28.089,32.318
2020-08-05 17:10,0,0,0,0,0,0,3.15,1.39,0,0,28.089,32.318
2020-08-05 17:20,0,0,0,0,0,0,3.06,1.37,0,0,28.089,32.318
2020-08-05 17:30,0,0,0,0,0,0,3.04,1.36,0,0,28.089,32.318
2020-08-05 17:40,0,0,0,0,0,0,2.99,1.35,0,0,28.089,32.318
2020-08-05 17:50,0,0,0,0,0,0,2.94,1.34,0,0,28.089,32.318
2020-08-05 18:00,0,0,0,0,0,0,2.9,1.33,0,0,28.089,32.318
2020-08-05 18:10,0,0,0,0,0,0,2.83,1.33,0,0,28.089,32.318
2020-08-05 18:20,0,0,0,0,0,0,2.76,1.32,0,0,28.089,32.318
2020-08-05 18:30,0,0,0,0,0,0,2.7,1.32,0,0,28.089,32.318
2020-08-05 18:40,0,0,0,0,0,0,2.63,1.31,0,0,28.089,32.318
2020-08-05 18:50,0,0,0,0,0,0,2.59,1.3,0,0,28.089,32.318
2020-08-05 19:00,0,0,0,0,0,0,2.55,1.3,0,0,28.089,32.318
2020-08-05 19:10,0,0,0,0,0,0,2.52,1.29,0,0,28.089,32.318
2020-08-05 19:20,0,0,0,0,0,0,2.48,1.28,0,0,28.089,32.318
2020-08-05 19:30,0,0,0,0,0,0,2.45,1.28,0,0,28.089,32.318
2020-08-05 19:40,0,0,0,0,0,0,2.43,1.27,0,0,28.089,32.318
2020-08-05 19:50,0,0,0,0,0,0,2.41,1.27,0,0,28.089,32.318
2020-08-05 20:00,0,0,0,0,0,0,2.4,1.26,0,0,28.089,32.318
2020-08-05 20:10,0,0,0,0,0,0,2.39,1.26,0,0,28.089,32.318
2020-08-05 20:20,0,0,0,0,0,0,2.37,1.26,0,0,28.089,32.318
2020-08-05 20:30,0,0,0,0,0,0,2.37,1.25,0,0,28.089,32.318
2020-08-05 20:40,0,0,0,0,0,0,2.36,1.25,0,0,28.089,32.318
2020-08-05 20:50,0,0,0,0,0,0,2.35,1.25,0,0,28.089,32.318
2020-08-05 21:00,0,0,0,0,0,0,2.35,1.25,0,0,28.089,32.318
2020-08-05 21:10,0,0,0,0,0,0,2.34,1.25,0,0,28.089,32.318
2020-08-05 21:20,0,0,0,0,0,0,2.34,1.25,0,0,28.089,32.318
2020-08-05 21:30,0,0,0,0,0,0,2.33,1.24,0,0,28.089,32.318
2020-08-05 21:40,0,0,0,0,0,0,2.33,1.24,0,0,28.089,32.318
2020-08-05 21:50,0,0,0,0,0,0,2.32,1.24,0,0,28.089,32.318
2020-08-05 22:00,0,0,0,0,0,0,2.31,1.24,0,0,28.089,32.318
2020-08-05 22:10,0,0,0,0,0,0,2.3,1.24,0,0,28.089,32.318
2020-08-05 22:20,0,0,0,0,0,0,2.3,1.24,0,0,28.089,32.318
2020-08-05 22:30,0,0,0,0,0,0,2.3,1.23,0,0,28.089,32.318
2020-08-05 22:40,0,0,0,0,0,0,2.29,1.23,0,0,28.089,32.318
2020-08-05 22:50,0,0,0,0,0,0,2.28,1.23,0,0,28.089,32.318
2020-08-05 23:00,0,0,0,0,0,0,2.28,1.22,0,0,28.089,32.318
2020-08-05 23:10,0,0,0,0,0,0,2.28,1.22,0,0,28.089,32.318
2020-08-05 23:20,0,0,0,1,0,0,2.28,1.22,0.074,0.488,28.163,32.806
2020-08-05 23:30,0,0,0,1,0,1,2.27,1.22,0.325,0.549,28.488,33.355
2020-08-05 23:40,1,0,0,0,1,1,2.27,1.22,0.537,0.512,29.025,33.867
2020-08-05 23:50,0,1,1,0,0,0,2.27,1.22,0.389,0,29.414,33.867
2020-08-06 0:00,0,0,0,1,1,0,2.27,1.22,0.199,0.939,29.613,34.806
