time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),대곡교_Ti,궁내교_Ti,성남시(궁내교)_WL,서울시(대곡교)_WL,성남시(궁내교)_Q,서울시(대곡교)_Q,대곡교_누적강우,궁내교_누적강우
2025-08-14 8:40,0,0,0,0,1,0,0.125,0.451,1.76,3.84,57.96,268.62,63.05,53.717
2025-08-14 8:50,0,0,0,0,0,0,0,0,1.82,4.01,63.47,302.4,63.05,53.717
2025-08-14 9:00,0,0,0,0,0,0,0,0,1.93,4.06,74.4,312.64,63.05,53.717
2025-08-14 9:10,0,0,0,0,0,0,0,0,2.01,4.06,83.03,312.64,63.05,53.717
2025-08-14 9:20,0,0,0,0,0,0,0,0,2.01,4.02,83.03,304.44,63.05,53.717
2025-08-14 9:30,0,0,0,0,0,0,0,0,1.9,3.95,71.31,290.3,63.05,53.717
2025-08-14 9:40,0,0,0,0,0,0,0,0,1.79,3.85,60.68,270.56,63.05,53.717
2025-08-14 9:50,0,0,0,0,0,0,0,0,1.68,3.72,51.09,245.75,63.05,53.717
2025-08-14 10:00,0,0,0,0,0,0,0,0,1.6,3.59,44.75,221.89,63.05,53.717
2025-08-14 10:10,0,0,0,0,0,0,0,0,1.55,3.47,41.05,200.73,63.05,53.717
2025-08-14 10:20,0,0,0,0,0,0,0,0,1.53,3.37,39.63,183.76,63.05,53.717
2025-08-14 10:30,0,0,0,0,0,1,0.251,0.061,1.5,3.28,37.55,168.99,63.301,53.778
2025-08-14 10:40,0,1,0,1,1,0,0.572,0.939,1.46,3.2,34.88,156.28,63.873,54.717
2025-08-14 10:50,1,0,1,0,0,0,0.177,0,1.43,3.11,32.97,142.17,64.05,54.717
2025-08-14 11:00,0,0,1,0,0,0,0.016,0,1.4,3.04,31.11,131.34,64.066,54.717
