,Start Index,End Index
0,2022-01-11 01:00:00,2022-01-11 18:10:00
1,2022-01-17 18:00:00,2022-01-18 11:10:00
2,2022-01-19 15:00:00,2022-01-20 08:10:00
3,2022-01-20 10:10:00,2022-01-21 03:20:00
4,2022-01-25 12:20:00,2022-01-26 05:30:00
5,2022-01-27 09:30:00,2022-01-28 02:40:00
6,2022-02-01 03:40:00,2022-02-01 20:50:00
7,2022-02-14 16:40:00,2022-02-15 09:50:00
8,2022-02-15 11:50:00,2022-02-16 05:00:00
9,2022-02-26 18:40:00,2022-02-27 11:50:00
10,2022-03-01 02:20:00,2022-03-01 19:30:00
11,2022-03-12 20:10:00,2022-03-13 13:20:00
12,2022-03-13 21:00:00,2022-03-14 14:10:00
13,2022-03-14 13:40:00,2022-03-15 06:50:00
14,2022-03-18 00:10:00,2022-03-18 17:20:00
15,2022-03-19 02:30:00,2022-03-19 19:40:00
16,2022-03-20 08:00:00,2022-03-21 01:10:00
17,2022-03-25 19:50:00,2022-03-26 13:00:00
18,2022-03-26 12:40:00,2022-03-27 05:50:00
19,2022-03-27 07:10:00,2022-03-28 00:20:00
20,2022-04-13 01:00:00,2022-04-13 18:10:00
21,2022-04-14 01:10:00,2022-04-14 18:20:00
22,2022-04-25 22:20:00,2022-04-26 15:30:00
23,2022-04-29 01:10:00,2022-04-29 18:20:00
24,2022-05-08 20:40:00,2022-05-09 13:50:00
25,2022-05-18 09:50:00,2022-05-19 03:00:00
26,2022-05-25 21:40:00,2022-05-26 14:50:00
27,2022-06-06 00:00:00,2022-06-06 17:10:00
28,2022-06-07 23:50:00,2022-06-08 17:00:00
29,2022-06-09 12:30:00,2022-06-10 05:40:00
30,2022-06-13 01:00:00,2022-06-13 18:10:00
31,2022-06-14 22:50:00,2022-06-15 16:00:00
32,2022-06-15 15:50:00,2022-06-16 09:00:00
33,2022-06-16 09:10:00,2022-06-17 02:20:00
34,2022-06-23 12:30:00,2022-06-24 05:40:00
35,2022-06-27 03:30:00,2022-06-27 20:40:00
36,2022-06-28 12:10:00,2022-06-29 05:20:00
37,2022-06-29 04:50:00,2022-06-29 22:00:00
38,2022-06-29 21:30:00,2022-06-30 14:40:00
39,2022-06-30 14:10:00,2022-07-01 07:20:00
40,2022-07-01 07:10:00,2022-07-02 00:20:00
41,2022-07-02 08:30:00,2022-07-03 01:40:00
42,2022-07-03 11:00:00,2022-07-04 04:10:00
43,2022-07-04 17:20:00,2022-07-05 10:30:00
44,2022-07-05 12:00:00,2022-07-06 05:10:00
45,2022-07-06 05:10:00,2022-07-06 22:20:00
46,2022-07-06 21:50:00,2022-07-07 15:00:00
47,2022-07-07 14:40:00,2022-07-08 07:50:00
48,2022-07-10 19:40:00,2022-07-11 12:50:00
49,2022-07-11 14:10:00,2022-07-12 07:20:00
50,2022-07-12 10:20:00,2022-07-13 03:30:00
51,2022-07-13 03:00:00,2022-07-13 20:10:00
52,2022-07-13 19:40:00,2022-07-14 12:50:00
53,2022-07-16 11:10:00,2022-07-17 04:20:00
54,2022-07-20 23:20:00,2022-07-21 16:30:00
55,2022-07-21 16:20:00,2022-07-22 09:30:00
56,2022-07-22 12:30:00,2022-07-23 05:40:00
57,2022-07-23 17:00:00,2022-07-24 10:10:00
58,2022-07-24 19:50:00,2022-07-25 13:00:00
59,2022-07-31 09:30:00,2022-08-01 02:40:00
60,2022-08-01 02:40:00,2022-08-01 19:50:00
61,2022-08-01 23:50:00,2022-08-02 17:00:00
62,2022-08-02 16:40:00,2022-08-03 09:50:00
63,2022-08-05 04:20:00,2022-08-05 21:30:00
64,2022-08-06 11:00:00,2022-08-07 04:10:00
65,2022-08-08 06:20:00,2022-08-08 23:30:00
66,2022-08-08 23:00:00,2022-08-09 16:10:00
67,2022-08-09 16:20:00,2022-08-10 09:30:00
68,2022-08-10 15:20:00,2022-08-11 08:30:00
69,2022-08-11 08:10:00,2022-08-12 01:20:00
70,2022-08-13 12:50:00,2022-08-14 06:00:00
71,2022-08-14 16:10:00,2022-08-15 09:20:00
72,2022-08-15 18:50:00,2022-08-16 12:00:00
73,2022-08-17 08:30:00,2022-08-18 01:40:00
74,2022-08-19 16:10:00,2022-08-20 09:20:00
75,2022-08-20 13:00:00,2022-08-21 06:10:00
76,2022-08-23 01:40:00,2022-08-23 18:50:00
77,2022-08-25 11:30:00,2022-08-26 04:40:00
78,2022-08-26 11:30:00,2022-08-27 04:40:00
79,2022-08-29 06:00:00,2022-08-29 23:10:00
80,2022-08-30 01:10:00,2022-08-30 18:20:00
81,2022-08-30 17:50:00,2022-08-31 11:00:00
82,2022-08-31 15:30:00,2022-09-01 08:40:00
83,2022-09-04 08:10:00,2022-09-05 01:20:00
84,2022-09-05 00:50:00,2022-09-05 18:00:00
85,2022-09-05 17:30:00,2022-09-06 10:40:00
