,Start Index,End Index
0,2023-01-05 14:00:00,2023-01-06 02:10:00
1,2023-01-06 20:50:00,2023-01-07 09:00:00
2,2023-01-09 14:10:00,2023-01-10 02:20:00
3,2023-01-13 01:00:00,2023-01-13 13:10:00
4,2023-01-13 13:40:00,2023-01-14 01:50:00
5,2023-01-14 03:20:00,2023-01-14 15:30:00
6,2023-01-14 16:40:00,2023-01-15 04:50:00
7,2023-01-15 04:40:00,2023-01-15 16:50:00
8,2023-01-15 21:20:00,2023-01-16 09:30:00
9,2023-01-18 10:50:00,2023-01-18 23:00:00
10,2023-01-19 23:20:00,2023-01-20 11:30:00
11,2023-01-26 07:50:00,2023-01-26 20:00:00
12,2023-01-27 09:20:00,2023-01-27 21:30:00
13,2023-01-30 10:50:00,2023-01-30 23:00:00
14,2023-02-10 06:30:00,2023-02-10 18:40:00
15,2023-02-19 10:00:00,2023-02-19 22:10:00
16,2023-03-09 00:30:00,2023-03-09 12:40:00
17,2023-03-12 07:30:00,2023-03-12 19:40:00
18,2023-04-04 20:40:00,2023-04-05 08:50:00
19,2023-04-05 08:20:00,2023-04-05 20:30:00
20,2023-04-05 20:20:00,2023-04-06 08:30:00
21,2023-04-06 08:30:00,2023-04-06 20:40:00
22,2023-04-06 20:40:00,2023-04-07 08:50:00
23,2023-04-11 13:10:00,2023-04-12 01:20:00
24,2023-04-15 10:10:00,2023-04-15 22:20:00
25,2023-04-18 08:10:00,2023-04-18 20:20:00
26,2023-04-28 21:30:00,2023-04-29 09:40:00
27,2023-04-29 09:10:00,2023-04-29 21:20:00
28,2023-05-01 11:20:00,2023-05-01 23:30:00
29,2023-05-05 05:00:00,2023-05-05 17:10:00
30,2023-05-05 16:40:00,2023-05-06 04:50:00
31,2023-05-06 04:20:00,2023-05-06 16:30:00
32,2023-05-06 20:20:00,2023-05-07 08:30:00
33,2023-05-07 08:10:00,2023-05-07 20:20:00
34,2023-05-18 13:20:00,2023-05-19 01:30:00
35,2023-05-22 19:00:00,2023-05-23 07:10:00
36,2023-05-26 00:40:00,2023-05-26 12:50:00
37,2023-05-27 11:00:00,2023-05-27 23:10:00
38,2023-05-28 00:30:00,2023-05-28 12:40:00
39,2023-05-28 12:10:00,2023-05-29 00:20:00
40,2023-05-28 23:50:00,2023-05-29 12:00:00
41,2023-05-29 12:00:00,2023-05-30 00:10:00
42,2023-05-30 15:20:00,2023-05-31 03:30:00
43,2023-06-08 23:40:00,2023-06-09 11:50:00
44,2023-06-11 00:10:00,2023-06-11 12:20:00
45,2023-06-14 12:00:00,2023-06-15 00:10:00
46,2023-06-15 12:40:00,2023-06-16 00:50:00
47,2023-06-20 22:50:00,2023-06-21 11:00:00
48,2023-06-21 12:20:00,2023-06-22 00:30:00
49,2023-06-22 20:20:00,2023-06-23 08:30:00
50,2023-06-26 04:10:00,2023-06-26 16:20:00
51,2023-06-26 17:50:00,2023-06-27 06:00:00
52,2023-06-27 07:00:00,2023-06-27 19:10:00
53,2023-06-28 19:50:00,2023-06-29 08:00:00
54,2023-06-29 08:10:00,2023-06-29 20:20:00
55,2023-06-29 20:20:00,2023-06-30 08:30:00
56,2023-06-30 12:00:00,2023-07-01 00:10:00
57,2023-07-04 13:40:00,2023-07-05 01:50:00
58,2023-07-05 01:20:00,2023-07-05 13:30:00
59,2023-07-07 12:20:00,2023-07-08 00:30:00
60,2023-07-09 10:50:00,2023-07-09 23:00:00
61,2023-07-10 04:30:00,2023-07-10 16:40:00
62,2023-07-11 07:30:00,2023-07-11 19:40:00
63,2023-07-12 05:50:00,2023-07-12 18:00:00
64,2023-07-13 09:30:00,2023-07-13 21:40:00
65,2023-07-13 21:10:00,2023-07-14 09:20:00
66,2023-07-14 09:20:00,2023-07-14 21:30:00
67,2023-07-14 21:00:00,2023-07-15 09:10:00
68,2023-07-15 15:00:00,2023-07-16 03:10:00
69,2023-07-16 05:20:00,2023-07-16 17:30:00
70,2023-07-17 06:50:00,2023-07-17 19:00:00
71,2023-07-17 21:20:00,2023-07-18 09:30:00
72,2023-07-18 09:00:00,2023-07-18 21:10:00
73,2023-07-19 12:50:00,2023-07-20 01:00:00
74,2023-07-22 17:30:00,2023-07-23 05:40:00
75,2023-07-23 05:20:00,2023-07-23 17:30:00
76,2023-07-23 18:10:00,2023-07-24 06:20:00
77,2023-07-25 01:30:00,2023-07-25 13:40:00
78,2023-07-26 02:10:00,2023-07-26 14:20:00
79,2023-07-26 18:10:00,2023-07-27 06:20:00
80,2023-08-06 16:00:00,2023-08-07 04:10:00
81,2023-08-09 22:50:00,2023-08-10 11:00:00
82,2023-08-10 10:30:00,2023-08-10 22:40:00
83,2023-08-10 22:10:00,2023-08-11 10:20:00
84,2023-08-11 10:50:00,2023-08-11 23:00:00
85,2023-08-12 03:20:00,2023-08-12 15:30:00
86,2023-08-22 10:40:00,2023-08-22 22:50:00
87,2023-08-23 05:30:00,2023-08-23 17:40:00
88,2023-08-23 18:40:00,2023-08-24 06:50:00
89,2023-08-25 06:20:00,2023-08-25 18:30:00
90,2023-08-28 05:30:00,2023-08-28 17:40:00
91,2023-08-29 02:20:00,2023-08-29 14:30:00
92,2023-08-29 14:20:00,2023-08-30 02:30:00
93,2023-08-30 11:50:00,2023-08-31 00:00:00
94,2023-09-03 03:10:00,2023-09-03 15:20:00
95,2023-09-04 03:40:00,2023-09-04 15:50:00
96,2023-09-05 19:00:00,2023-09-06 07:10:00
97,2023-09-13 11:10:00,2023-09-13 23:20:00
98,2023-09-15 05:20:00,2023-09-15 17:30:00
99,2023-09-15 17:50:00,2023-09-16 06:00:00
100,2023-09-16 16:00:00,2023-09-17 04:10:00
101,2023-09-17 14:20:00,2023-09-18 02:30:00
102,2023-09-20 05:40:00,2023-09-20 17:50:00
103,2023-09-20 17:20:00,2023-09-21 05:30:00
104,2023-09-22 13:40:00,2023-09-23 01:50:00
105,2023-09-25 21:00:00,2023-09-26 09:10:00
106,2023-09-26 08:40:00,2023-09-26 20:50:00
107,2023-09-26 21:10:00,2023-09-27 09:20:00
108,2023-09-27 14:40:00,2023-09-28 02:50:00
109,2023-09-30 02:50:00,2023-09-30 15:00:00
110,2023-10-04 16:20:00,2023-10-05 04:30:00
111,2023-10-14 07:40:00,2023-10-14 19:50:00
112,2023-10-19 08:10:00,2023-10-19 20:20:00
113,2023-10-21 08:00:00,2023-10-21 20:10:00
114,2023-10-26 20:30:00,2023-10-27 08:40:00
115,2023-11-03 17:10:00,2023-11-04 05:20:00
116,2023-11-05 01:10:00,2023-11-05 13:20:00
117,2023-11-05 19:50:00,2023-11-06 08:00:00
118,2023-11-06 07:30:00,2023-11-06 19:40:00
119,2023-11-06 21:10:00,2023-11-07 09:20:00
120,2023-11-09 16:20:00,2023-11-10 04:30:00
121,2023-11-16 10:10:00,2023-11-16 22:20:00
122,2023-11-17 00:10:00,2023-11-17 12:20:00
123,2023-11-23 16:50:00,2023-11-24 05:00:00
124,2023-11-27 01:40:00,2023-11-27 13:50:00
125,2023-11-27 15:10:00,2023-11-28 03:20:00
126,2023-11-29 14:50:00,2023-11-30 03:00:00
127,2023-12-06 14:50:00,2023-12-07 03:00:00
128,2023-12-07 12:50:00,2023-12-08 01:00:00
129,2023-12-11 02:10:00,2023-12-11 14:20:00
130,2023-12-11 13:50:00,2023-12-12 02:00:00
131,2023-12-12 03:40:00,2023-12-12 15:50:00
132,2023-12-14 09:10:00,2023-12-14 21:20:00
133,2023-12-14 20:50:00,2023-12-15 09:00:00
134,2023-12-15 08:40:00,2023-12-15 20:50:00
135,2023-12-15 22:00:00,2023-12-16 10:10:00
136,2023-12-16 09:50:00,2023-12-16 22:00:00
137,2023-12-19 11:50:00,2023-12-20 00:00:00
138,2023-12-20 00:40:00,2023-12-20 12:50:00
139,2023-12-24 04:10:00,2023-12-24 16:20:00
140,2023-12-25 12:00:00,2023-12-26 00:10:00
141,2023-12-26 11:40:00,2023-12-26 23:50:00
142,2023-12-28 16:10:00,2023-12-29 04:20:00
143,2023-12-30 11:20:00,2023-12-30 23:30:00
144,2023-12-30 23:10:00,2023-12-31 11:20:00
145,2023-12-31 11:00:00,2023-12-31 23:10:00
