,Start Index,End Index
0,2020-01-06 12:50:00,2020-01-07 11:10:00
1,2020-01-06 23:20:00,2020-01-07 21:40:00
2,2020-01-07 09:50:00,2020-01-08 08:10:00
3,2020-01-07 20:20:00,2020-01-08 18:40:00
4,2020-01-19 08:20:00,2020-01-20 06:40:00
5,2020-01-27 13:40:00,2020-01-28 12:00:00
6,2020-02-04 14:20:00,2020-02-05 12:40:00
7,2020-02-12 04:40:00,2020-02-13 03:00:00
8,2020-02-12 15:20:00,2020-02-13 13:40:00
9,2020-02-15 15:20:00,2020-02-16 13:40:00
10,2020-02-16 03:50:00,2020-02-17 02:10:00
11,2020-02-16 21:00:00,2020-02-17 19:20:00
12,2020-02-18 05:00:00,2020-02-19 03:20:00
13,2020-02-21 14:40:00,2020-02-22 13:00:00
14,2020-02-24 19:00:00,2020-02-25 17:20:00
15,2020-02-25 05:30:00,2020-02-26 03:50:00
16,2020-02-28 04:50:00,2020-02-29 03:10:00
17,2020-02-28 16:00:00,2020-02-29 14:20:00
18,2020-03-09 23:30:00,2020-03-10 21:50:00
19,2020-03-10 10:30:00,2020-03-11 08:50:00
20,2020-03-12 21:40:00,2020-03-13 20:00:00
21,2020-03-26 16:30:00,2020-03-27 14:50:00
22,2020-04-17 01:30:00,2020-04-17 23:50:00
23,2020-04-19 09:20:00,2020-04-20 07:40:00
24,2020-04-20 00:40:00,2020-04-20 23:00:00
25,2020-05-08 15:40:00,2020-05-09 14:00:00
26,2020-05-09 02:10:00,2020-05-10 00:30:00
27,2020-05-09 15:30:00,2020-05-10 13:50:00
28,2020-05-11 17:50:00,2020-05-12 16:10:00
29,2020-05-15 00:40:00,2020-05-15 23:00:00
30,2020-05-15 11:30:00,2020-05-16 09:50:00
31,2020-05-15 22:30:00,2020-05-16 20:50:00
32,2020-05-18 10:10:00,2020-05-19 08:30:00
33,2020-05-19 01:00:00,2020-05-19 23:20:00
34,2020-05-24 00:10:00,2020-05-24 22:30:00
35,2020-05-26 05:20:00,2020-05-27 03:40:00
36,2020-05-31 23:40:00,2020-06-01 22:00:00
37,2020-06-02 05:50:00,2020-06-03 04:10:00
38,2020-06-10 13:10:00,2020-06-11 11:30:00
39,2020-06-11 03:50:00,2020-06-12 02:10:00
40,2020-06-13 17:50:00,2020-06-14 16:10:00
41,2020-06-14 07:10:00,2020-06-15 05:30:00
42,2020-06-24 03:50:00,2020-06-25 02:10:00
43,2020-06-24 14:20:00,2020-06-25 12:40:00
44,2020-06-25 04:00:00,2020-06-26 02:20:00
45,2020-06-25 16:00:00,2020-06-26 14:20:00
46,2020-06-27 04:50:00,2020-06-28 03:10:00
47,2020-06-29 14:00:00,2020-06-30 12:20:00
48,2020-06-30 00:30:00,2020-06-30 22:50:00
49,2020-06-30 16:20:00,2020-07-01 14:40:00
50,2020-07-03 18:30:00,2020-07-04 16:50:00
51,2020-07-10 04:00:00,2020-07-11 02:20:00
52,2020-07-12 10:50:00,2020-07-13 09:10:00
53,2020-07-12 21:20:00,2020-07-13 19:40:00
54,2020-07-13 07:50:00,2020-07-14 06:10:00
55,2020-07-13 18:20:00,2020-07-14 16:40:00
56,2020-07-19 00:10:00,2020-07-19 22:30:00
57,2020-07-19 21:10:00,2020-07-20 19:30:00
58,2020-07-22 00:40:00,2020-07-22 23:00:00
59,2020-07-22 12:10:00,2020-07-23 10:30:00
60,2020-07-23 00:20:00,2020-07-23 22:40:00
61,2020-07-23 10:50:00,2020-07-24 09:10:00
62,2020-07-24 03:20:00,2020-07-25 01:40:00
63,2020-07-26 21:40:00,2020-07-27 20:00:00
64,2020-07-27 14:40:00,2020-07-28 13:00:00
65,2020-07-28 03:10:00,2020-07-29 01:30:00
66,2020-07-28 17:50:00,2020-07-29 16:10:00
67,2020-07-29 05:00:00,2020-07-30 03:20:00
68,2020-07-29 15:30:00,2020-07-30 13:50:00
69,2020-07-31 17:40:00,2020-08-01 16:00:00
70,2020-08-01 06:50:00,2020-08-02 05:10:00
71,2020-08-01 17:20:00,2020-08-02 15:40:00
72,2020-08-02 03:50:00,2020-08-03 02:10:00
73,2020-08-02 20:50:00,2020-08-03 19:10:00
74,2020-08-03 08:50:00,2020-08-04 07:10:00
75,2020-08-03 22:40:00,2020-08-04 21:00:00
76,2020-08-04 10:50:00,2020-08-05 09:10:00
77,2020-08-05 01:50:00,2020-08-06 00:10:00
78,2020-08-05 17:20:00,2020-08-06 15:40:00
79,2020-08-06 03:50:00,2020-08-07 02:10:00
80,2020-08-08 05:20:00,2020-08-09 03:40:00
81,2020-08-08 15:50:00,2020-08-09 14:10:00
82,2020-08-09 02:20:00,2020-08-10 00:40:00
83,2020-08-10 00:00:00,2020-08-10 22:20:00
84,2020-08-10 10:30:00,2020-08-11 08:50:00
85,2020-08-10 21:00:00,2020-08-11 19:20:00
86,2020-08-11 12:20:00,2020-08-12 10:40:00
87,2020-08-13 20:00:00,2020-08-14 18:20:00
88,2020-08-14 06:40:00,2020-08-15 05:00:00
89,2020-08-14 17:20:00,2020-08-15 15:40:00
90,2020-08-15 04:30:00,2020-08-16 02:50:00
91,2020-08-21 09:00:00,2020-08-22 07:20:00
92,2020-08-21 23:10:00,2020-08-22 21:30:00
93,2020-08-22 12:00:00,2020-08-23 10:20:00
94,2020-08-25 16:30:00,2020-08-26 14:50:00
95,2020-08-26 14:20:00,2020-08-27 12:40:00
96,2020-08-27 01:40:00,2020-08-28 00:00:00
97,2020-08-27 14:20:00,2020-08-28 12:40:00
98,2020-08-28 01:00:00,2020-08-28 23:20:00
99,2020-08-28 18:50:00,2020-08-29 17:10:00
100,2020-08-29 05:20:00,2020-08-30 03:40:00
101,2020-08-29 16:00:00,2020-08-30 14:20:00
102,2020-08-30 12:10:00,2020-08-31 10:30:00
103,2020-09-01 18:50:00,2020-09-02 17:10:00
104,2020-09-02 05:20:00,2020-09-03 03:40:00
105,2020-09-02 16:00:00,2020-09-03 14:20:00
106,2020-09-03 02:30:00,2020-09-04 00:50:00
107,2020-09-06 12:40:00,2020-09-07 11:00:00
108,2020-09-07 00:10:00,2020-09-07 22:30:00
109,2020-09-07 10:40:00,2020-09-08 09:00:00
110,2020-09-08 07:40:00,2020-09-09 06:00:00
111,2020-09-08 21:20:00,2020-09-09 19:40:00
112,2020-09-09 08:40:00,2020-09-10 07:00:00
113,2020-09-10 00:00:00,2020-09-10 22:20:00
114,2020-09-11 14:20:00,2020-09-12 12:40:00
115,2020-09-12 01:40:00,2020-09-13 00:00:00
116,2020-09-12 12:50:00,2020-09-13 11:10:00
117,2020-09-13 07:30:00,2020-09-14 05:50:00
118,2020-09-15 20:00:00,2020-09-16 18:20:00
119,2020-09-18 22:00:00,2020-09-19 20:20:00
120,2020-10-02 20:30:00,2020-10-03 18:50:00
121,2020-10-16 05:10:00,2020-10-17 03:30:00
122,2020-10-23 05:20:00,2020-10-24 03:40:00
123,2020-11-01 07:40:00,2020-11-02 06:00:00
124,2020-11-02 18:30:00,2020-11-03 16:50:00
125,2020-11-17 18:30:00,2020-11-18 16:50:00
